classifier,n,Lhat,trainTime,testTime,iterate
Lin. SVM, 200, 0.531000000, 0.204840899, 0.000807047, 6
Lin. SVM, 200, 0.511000000, 0.198604107, 0.000869036, 7
Lin. SVM, 200, 0.520000000, 0.200213194, 0.000734091, 8
Lin. SVM, 200, 0.491000000, 0.197618961, 0.000876188, 9
SVM, 200, 0.488000000, 0.029321909, 0.139452934, 0
SVM, 200, 0.496000000, 0.031064034, 0.141903162, 1
SVM, 200, 0.471000000, 0.029631853, 0.135126114, 2
SVM, 200, 0.498000000, 0.029212952, 0.135998964, 3
SVM, 200, 0.492000000, 0.029674053, 0.133690119, 4
SVM, 200, 0.496000000, 0.029741764, 0.134428978, 5
SVM, 200, 0.500000000, 0.029609919, 0.134516001, 6
SVM, 200, 0.501000000, 0.029772997, 0.134613991, 7
SVM, 200, 0.499000000, 0.029827833, 0.133950949, 8
SVM, 200, 0.488000000, 0.029736042, 0.133738041, 9
kNN, 200, 0.513000000, 0.002108097, 0.057804108, 0
kNN, 200, 0.496000000, 0.001705885, 0.057142019, 1
kNN, 200, 0.502000000, 0.002025843, 0.066127777, 2
kNN, 200, 0.503000000, 0.002151966, 0.056282997, 3
kNN, 200, 0.492000000, 0.002163887, 0.072999954, 4
kNN, 200, 0.497000000, 0.001794815, 0.063462257, 5
kNN, 200, 0.488000000, 0.001904964, 0.055436850, 6
kNN, 200, 0.505000000, 0.001774073, 0.079651833, 7
kNN, 200, 0.479000000, 0.002666712, 0.059015989, 8
kNN, 200, 0.486000000, 0.002079010, 0.068761826, 9
RF, 200, 0.511000000, 0.144783020, 0.018435955, 0
RF, 200, 0.492000000, 0.148389101, 0.020855188, 1
RF, 200, 0.515000000, 0.150385141, 0.019196033, 2
RF, 200, 0.492000000, 0.167350054, 0.019489050, 3
RF, 200, 0.499000000, 0.165144920, 0.018090010, 4
RF, 200, 0.498000000, 0.147145987, 0.017055988, 5
RF, 200, 0.518000000, 0.147959232, 0.019984961, 6
RF, 200, 0.507000000, 0.157115221, 0.020494223, 7
RF, 200, 0.492000000, 0.160966873, 0.018603086, 8
RF, 200, 0.492000000, 0.150735855, 0.019292831, 9
MLP, 200, 0.500000000, 1.126772165, 0.003723145, 0
MLP, 200, 0.483000000, 0.048481226, 0.002712965, 1
MLP, 200, 0.513000000, 1.284607887, 0.002643824, 2
MLP, 200, 0.474000000, 1.042746782, 0.002593994, 3
MLP, 200, 0.513000000, 1.006283998, 0.002554178, 4
MLP, 200, 0.489000000, 0.068927050, 0.004166842, 5
MLP, 200, 0.471000000, 0.055640221, 0.003190994, 6
MLP, 200, 0.514000000, 1.022791862, 0.002714872, 7
MLP, 200, 0.498000000, 0.048688173, 0.003313065, 8
MLP, 200, 0.515000000, 0.044612885, 0.002661228, 9
S-RerF, 200, 0.510000000, 0.202743769, 0.051429987, 0
S-RerF, 200, 0.479000000, 0.174493074, 0.009706974, 1
S-RerF, 200, 0.484000000, 0.180428982, 0.012202024, 2
S-RerF, 200, 0.539000000, 0.181197882, 0.007731915, 3
S-RerF, 200, 0.496000000, 0.175762892, 0.014314890, 4
S-RerF, 200, 0.532000000, 0.179260015, 0.009343863, 5
S-RerF, 200, 0.514000000, 0.173533916, 0.012999058, 6
S-RerF, 200, 0.511000000, 0.189007759, 0.012865067, 7
S-RerF, 200, 0.493000000, 0.182890892, 0.007369995, 8
S-RerF, 200, 0.493000000, 0.176507950, 0.012172937, 9
MT-MORF, 200, 0.483000000, 0.174411058, 0.009765148, 0
MT-MORF, 200, 0.503000000, 0.205250740, 0.007019043, 1
MT-MORF, 200, 0.519000000, 0.206297159, 0.008956909, 2
MT-MORF, 200, 0.502000000, 0.232732296, 0.028406858, 3
MT-MORF, 200, 0.500000000, 0.182773113, 0.009355783, 4
MT-MORF, 200, 0.505000000, 0.244721174, 0.012410879, 5
MT-MORF, 200, 0.481000000, 0.185307980, 0.008079052, 6
MT-MORF, 200, 0.521000000, 0.186731100, 0.008066893, 7
MT-MORF, 200, 0.492000000, 0.185279846, 0.009019136, 8
MT-MORF, 200, 0.518000000, 0.187146187, 0.011639118, 9
Log. Reg, 400, 0.508000000, 0.043090105, 0.001010895, 0
Log. Reg, 400, 0.487000000, 0.036571980, 0.000760794, 1
Log. Reg, 400, 0.531000000, 0.032917976, 0.000771761, 2
Log. Reg, 400, 0.502000000, 0.037681818, 0.000715017, 3
Log. Reg, 400, 0.512000000, 0.036536932, 0.000719070, 4
Log. Reg, 400, 0.475000000, 0.040070057, 0.000758648, 5
Log. Reg, 400, 0.501000000, 0.039267778, 0.000818014, 6
Log. Reg, 400, 0.519000000, 0.036246061, 0.001039982, 7
Log. Reg, 400, 0.501000000, 0.035820723, 0.000719070, 8
Log. Reg, 400, 0.494000000, 0.044453144, 0.000800133, 9
Lin. SVM, 400, 0.504000000, 0.387989044, 0.000704050, 0
Lin. SVM, 400, 0.508000000, 0.380835772, 0.000871897, 1
Lin. SVM, 400, 0.492000000, 0.379967928, 0.000746012, 2
Lin. SVM, 400, 0.495000000, 0.381536722, 0.000715017, 3
Lin. SVM, 400, 0.490000000, 0.401631117, 0.000762224, 4
Lin. SVM, 400, 0.481000000, 0.384817123, 0.001211166, 5
Lin. SVM, 400, 0.467000000, 0.440597057, 0.000947952, 6
Lin. SVM, 400, 0.480000000, 0.411338091, 0.001027107, 7
Lin. SVM, 400, 0.494000000, 0.396270990, 0.000710964, 8
Lin. SVM, 400, 0.532000000, 0.373940945, 0.000780106, 9
SVM, 400, 0.503000000, 0.112983942, 0.266379595, 0
SVM, 400, 0.491000000, 0.135948896, 0.280292749, 1
SVM, 400, 0.492000000, 0.115368843, 0.265793800, 2
SVM, 400, 0.482000000, 0.111345291, 0.266969919, 3
SVM, 400, 0.463000000, 0.111163855, 0.271547794, 4
SVM, 400, 0.520000000, 0.113311052, 0.269016027, 5
SVM, 400, 0.511000000, 0.113435984, 0.281646252, 6
SVM, 400, 0.489000000, 0.112005949, 0.267719984, 7
SVM, 400, 0.482000000, 0.112659931, 0.269984007, 8
SVM, 400, 0.496000000, 0.111284971, 0.268892765, 9
kNN, 400, 0.488000000, 0.004045010, 0.103605986, 0
kNN, 400, 0.500000000, 0.003793955, 0.092211008, 1
kNN, 400, 0.491000000, 0.003629208, 0.090353012, 2
kNN, 400, 0.514000000, 0.003859043, 0.089099169, 3
kNN, 400, 0.497000000, 0.004138231, 0.095009089, 4
kNN, 400, 0.500000000, 0.003885031, 0.088515997, 5
kNN, 400, 0.506000000, 0.003639698, 0.090976954, 6
kNN, 400, 0.483000000, 0.004651070, 0.097342968, 7
kNN, 400, 0.492000000, 0.004037857, 0.086819887, 8
kNN, 400, 0.501000000, 0.003891945, 0.085458755, 9
RF, 400, 0.491000000, 0.188922167, 0.020331860, 0
RF, 400, 0.493000000, 0.177983999, 0.018144846, 1
RF, 400, 0.493000000, 0.178027153, 0.018595695, 2
RF, 400, 0.509000000, 0.175387144, 0.019966841, 3
RF, 400, 0.521000000, 0.175108671, 0.018384218, 4
RF, 400, 0.509000000, 0.169145107, 0.021377087, 5
RF, 400, 0.506000000, 0.176198006, 0.019037008, 6
RF, 400, 0.510000000, 0.180301189, 0.019299269, 7
RF, 400, 0.491000000, 0.179858923, 0.020959854, 8
RF, 400, 0.521000000, 0.179028988, 0.019184828, 9
MLP, 400, 0.462000000, 1.355624914, 0.002760887, 0
MLP, 400, 0.521000000, 3.493714094, 0.003271341, 1
MLP, 400, 0.489000000, 3.288651943, 0.002902031, 2
MLP, 400, 0.525000000, 1.598165989, 0.005184889, 3
MLP, 400, 0.485000000, 2.341372967, 0.003378868, 4
MLP, 400, 0.528000000, 6.366867065, 0.003139019, 5
MLP, 400, 0.505000000, 2.696586847, 0.003658056, 6
MLP, 400, 0.530000000, 2.794877768, 0.002752066, 7
MLP, 400, 0.503000000, 2.638844967, 0.003046274, 8
MLP, 400, 0.474000000, 4.960088015, 0.007413864, 9
S-RerF, 400, 0.489000000, 0.711722136, 0.020539761, 0
S-RerF, 400, 0.509000000, 0.468934059, 0.015089035, 1
S-RerF, 400, 0.510000000, 0.480702877, 0.012228966, 2
S-RerF, 400, 0.524000000, 0.460146189, 0.008840322, 3
S-RerF, 400, 0.521000000, 0.490487814, 0.014084101, 4
S-RerF, 400, 0.542000000, 0.453909874, 0.013354063, 5
S-RerF, 400, 0.521000000, 0.473269939, 0.009367943, 6
S-RerF, 400, 0.506000000, 0.470575809, 0.008819818, 7
S-RerF, 400, 0.488000000, 0.456419706, 0.048261166, 8
S-RerF, 400, 0.504000000, 0.487349033, 0.010378122, 9
MT-MORF, 400, 0.484000000, 0.485186100, 0.009371042, 0
MT-MORF, 400, 0.482000000, 0.535939693, 0.010906935, 1
MT-MORF, 400, 0.498000000, 0.516376972, 0.049677849, 2
MT-MORF, 400, 0.520000000, 0.495164156, 0.020321608, 3
MT-MORF, 400, 0.462000000, 0.470717907, 0.012273788, 4
MT-MORF, 400, 0.492000000, 0.481492996, 0.018710136, 5
MT-MORF, 400, 0.487000000, 0.473640919, 0.052675724, 6
MT-MORF, 400, 0.512000000, 0.478924036, 0.009924889, 7
MT-MORF, 400, 0.506000000, 0.485055923, 0.009007692, 8
MT-MORF, 400, 0.488000000, 0.489240170, 0.008893013, 9
Log. Reg, 1000, 0.498000000, 0.244638205, 0.000802040, 0
Log. Reg, 1000, 0.513000000, 0.241302013, 0.000844002, 1
Log. Reg, 1000, 0.496000000, 0.277781010, 0.000770092, 2
Log. Reg, 1000, 0.510000000, 0.264432907, 0.000868797, 3
Log. Reg, 1000, 0.495000000, 0.260366917, 0.000942945, 4
Log. Reg, 1000, 0.530000000, 0.283518791, 0.000733852, 5
Log. Reg, 1000, 0.490000000, 0.245393991, 0.000768185, 6
Log. Reg, 1000, 0.505000000, 0.230322123, 0.000725985, 7
Log. Reg, 1000, 0.501000000, 0.222818851, 0.000712872, 8
Log. Reg, 1000, 0.502000000, 0.246695042, 0.000718832, 9
Lin. SVM, 1000, 0.478000000, 1.408551216, 0.000742912, 0
